"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ECHO","Echo Global Logistics, Inc.","20.17","$575.8M","2009","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/echo",
"SATS","EchoStar Corporation","36.74","$3.54B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/sats",
"EEI","Ecology and Environment, Inc.","12.8062","$55.23M","1987","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/eei",
"EDAP","EDAP TMS S.A.","2.19","$63.51M","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/edap",
"EDGE","Edge Therapeutics, Inc.","0.34","$10.65M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/edge",
"EDNT","Edison Nation, Inc.","5.12","$25.86M","2018","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/ednt",
"EDIT","Editas Medicine, Inc.","21.96","$1.05B","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/edit",
"EDTX","EdtechX Holdings Acquisition Corp.","9.79","$77.4M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/edtx",
"EDTXU","EdtechX Holdings Acquisition Corp.","9.98","$78.9M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/edtxu",
"EDTXW","EdtechX Holdings Acquisition Corp.","0.31","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/edtxw",
"EDUC","Educational Development Corporation","8.71","$71.38M","n/a","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/educ",
"EGAN","eGain Corporation","6.31","$175.87M","1999","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/egan",
"EHTH","eHealth, Inc.","36.19","$702.32M","2006","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/ehth",
"EIDX","Eidos Therapeutics, Inc.","13.83","$508.21M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eidx",
"EIGR","Eiger BioPharmaceuticals, Inc.","10.46","$199.74M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/eigr",
"EKSO","Ekso Bionics Holdings, Inc.","1.56","$97.72M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/ekso",
"LOCO","El Pollo Loco Holdings, Inc.","14.73","$575.45M","2014","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/loco",
"EMITF","Elbit Imaging Ltd.","1.21","$11.12M","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/emitf",
"ESLT","Elbit Systems Ltd.","115.9","$4.96B","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/eslt",
"ERI","Eldorado Resorts, Inc.","37.38","$2.9B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/eri",
"SOLO","Electrameccanica Vehicles Corp. Ltd.","1.265","$40.86M","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/solo",
"SOLOW","Electrameccanica Vehicles Corp. Ltd.","0.4","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/solow",
"ESIO","Electro Scientific Industries, Inc.","29.95","$1.03B","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/esio",
"ECOR","electroCore, Inc.","7.6","$223.82M","2018","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/ecor",
"EA","Electronic Arts Inc.","78.71","$23.78B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ea",
"EFII","Electronics for Imaging, Inc.","23.95","$1.05B","1992","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/efii",
"ELSE","Electro-Sensors, Inc.","3.4961","$11.87M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/else",
"ESBK","Elmira Savings Bank NY (The)","18.32","$55.66M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/esbk",
"ELOX","Eloxx Pharmaceuticals, Inc.","13.4","$470.56M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/elox",
"ELTK","Eltek Ltd.","2.39","$4.85M","1997","Technology","Electrical Products","https://www.nasdaq.com/symbol/eltk",
"EMCI","EMC Insurance Group Inc.","31.48","$680.33M","1982","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/emci",
"EMCF","Emclaire Financial Corp","31.2","$83.94M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/emcf",
"EMKR","EMCORE Corporation","4.47","$123.4M","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/emkr",
"EMMS","Emmis Communications Corporation","3.34","$43.14M","1994","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/emms",
"NYNY","Empire Resorts, Inc.","10.23","$351.95M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/nyny",
"ENTA","Enanta Pharmaceuticals, Inc.","69.08","$1.34B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/enta",
"ECPG","Encore Capital Group Inc","24.39","$752.48M","n/a","Finance","Finance Companies","https://www.nasdaq.com/symbol/ecpg",
"WIRE","Encore Wire Corporation","49.19","$1.03B","1992","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/wire",
"ENDP","Endo International plc","7.72","$1.73B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/endp",
"ELGX","Endologix, Inc.","0.7149","$73.96M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/elgx",
"NDRA","ENDRA Life Sciences Inc.","1.67","$11.37M","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/ndra",
"NDRAW","ENDRA Life Sciences Inc.","0.75","n/a","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/ndraw",
"EIGI","Endurance International Group Holdings, Inc.","6.46","$929.31M","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/eigi",
"WATT","Energous Corporation","6.59","$171.96M","2014","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/watt",
"EFOI","Energy Focus, Inc.","0.7009","$8.47M","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/efoi",
"ERII","Energy Recovery, Inc.","6.77","$364.65M","2008","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/erii",
"ENG","ENGlobal Corporation","0.7634","$21M","n/a","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/eng",
"ENOB","Enochian Biosciences, Inc.","6.88","$248.88M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/enob",
"ENPH","Enphase Energy, Inc.","4.76","$506.12M","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/enph",
"ESGR","Enstar Group Limited","163.82","$3.52B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esgr",
"ESGRO","Enstar Group Limited","23.75","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esgro",
"ESGRP","Enstar Group Limited","23.8","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esgrp",
"ETTX","Entasis Therapeutics Holdings Inc.","4.4423","$58.19M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ettx",
"ENFC","Entegra Financial Corp.","20.84","$143.65M","2014","Finance","Banks","https://www.nasdaq.com/symbol/enfc",
"ENTG","Entegris, Inc.","27.43","$3.88B","2000","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/entg",
"ENTX","Entera Bio Ltd.","3.24","$37.03M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/entx",
"ENTXW","Entera Bio Ltd.","0.98","n/a","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/entxw",
"EBTC","Enterprise Bancorp Inc","31.11","$363.99M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ebtc",
"EFSC","Enterprise Financial Services Corporation","38.03","$873.15M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/efsc",
"EPZM","Epizyme, Inc.","5.98","$473.42M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/epzm",
"PLUS","ePlus inc.","68.74","$942.06M","1996","Technology","Retail: Computer Software & Peripheral Equipment","https://www.nasdaq.com/symbol/plus",
"EQ","Equillium, Inc.","7.06","$122.68M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eq",
"EQIX","Equinix, Inc.","345.94","$27.81B","2000","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqix",
"EQBK","Equity Bancshares, Inc.","33.32","$526.21M","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/eqbk",
"ERIC","Ericsson","8.29","$27.64B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/eric",
"ERIE","Erie Indemnity Company","132.62","$6.93B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/erie",
"ERYP","Erytech Pharma S.A.","6.9766","$125.14M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/eryp",
"ESCA","Escalade, Incorporated","11.22","$162.01M","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/esca",
"ESPR","Esperion Therapeutics, Inc.","44.45","$1.19B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/espr",
"ESQ","Esquire Financial Holdings, Inc.","21","$156.36M","2017","Finance","Commercial Banks","https://www.nasdaq.com/symbol/esq",
"ESSA","ESSA Bancorp, Inc.","15.65","$181.72M","n/a","Finance","Banks","https://www.nasdaq.com/symbol/essa",
"EPIX","ESSA Pharma Inc.","2.1","$13.25M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/epix",
"ESND","Essendant Inc.","12.65","$476.17M","n/a","Consumer Services","Paper","https://www.nasdaq.com/symbol/esnd",
"ESTA","Establishment Labs Holdings Inc.","26","$534M","2018","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/esta",
"ESTR","Estre Ambiental, Inc.","2.42","$123.87M","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/estr",
"ESTRW","Estre Ambiental, Inc.","0.075","n/a","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/estrw",
"VBND","ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund","47.665","$409.92M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vbnd",
"VUSE","ETF Series Solutions Trust Vident Core US Equity ETF","27.55","$418.76M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vuse",
"VIDI","ETF Series Solutions Trust Vident International Equity Fund","22.3447","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vidi",
"ETON","Eton Pharmaceutcials, Inc.","6","$105.65M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eton",
"ETSY","Etsy, Inc.","46.03","$5.54B","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/etsy",
"CLWT","Euro Tech Holdings Company Limited","2.6019","$5.36M","1997","Consumer Durables","Diversified Electronic Products","https://www.nasdaq.com/symbol/clwt",
"EDRY","EuroDry Ltd.","9.39","$21.17M","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/edry",
"EEFT","Euronet Worldwide, Inc.","96.45","$4.97B","1997","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/eeft",
"ESEA","Euroseas Ltd.","0.6518","$7.35M","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/esea",
"EVLO","Evelo Biosciences, Inc.","13.48","$428.25M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evlo",
"EVBG","Everbridge, Inc.","52.92","$1.57B","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/evbg",
"EVK","Ever-Glory International Group, Inc.","3.99","$59.04M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/evk",
"EVER","EverQuote, Inc.","4.41","$110.37M","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/ever",
"MRAM","Everspin Technologies, Inc.","5.72","$97.78M","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/mram",
"EVLV","EVINE Live Inc.","0.4545","$30.85M","n/a","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/evlv",
"EVOP","EVO Payments, Inc.","23.56","$1.91B","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/evop",
"EVFM","Evofem Biosciences, Inc.","3.915","$101.27M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evfm",
"EVGN","Evogene Ltd.","2.15","$55.37M","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/evgn",
"EVOK","Evoke Pharma, Inc.","2.45","$42.7M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evok",
"EOLS","Evolus, Inc.","12.64","$344.76M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eols",
"EVOL","Evolving Systems, Inc.","1.24","$15.03M","1998","Technology","EDP Services","https://www.nasdaq.com/symbol/evol",
"EXAS","Exact Sciences Corporation","61.98","$7.62B","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/exas",
"FLAG","Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S","36.5178","$14.61M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/flag",
"ROBO","Exchange Traded Concepts Trust ROBO Global Robotics and Automa","31.56","$145.18M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/robo",
"XELA","Exela Technologies, Inc.","3.73","$565.65M","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/xela",
"EXEL","Exelixis, Inc.","19.6","$5.86B","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/exel",
"EXFO","EXFO Inc","3.03","$71.66M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/exfo",
"EXLS","ExlService Holdings, Inc.","50.47","$1.73B","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/exls",
"EXPI","eXp World Holdings, Inc.","7.2","$425.77M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/expi",
"EXPE","Expedia Group, Inc.","108.52","$16.17B","n/a","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/expe",
"EXPD","Expeditors International of Washington, Inc.","64.98","$11.21B","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/expd",
"EXPO","Exponent, Inc.","49.33","$2.57B","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/expo",
"STAY","Extended Stay America, Inc.","15.18","$2.86B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/stay",
"XOG","Extraction Oil & Gas, Inc.","4.27","$752.32M","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/xog",
"EXTR","Extreme Networks, Inc.","5.83","$689.91M","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/extr",
"EYEG","Eyegate Pharmaceuticals, Inc.","0.47","$20.42M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eyeg",
"EYEGW","Eyegate Pharmaceuticals, Inc.","0.04","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eyegw",
"EYEN","Eyenovia, Inc.","2.95","$33.3M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eyen",
"EYPT","EyePoint Pharmaceuticals, Inc.","1.91","$181.17M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/eypt",
"EZPW","EZCORP, Inc.","8.09","$441.59M","1991","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/ezpw",
"FFIV","F5 Networks, Inc.","154.31","$9.36B","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/ffiv",
"FB","Facebook, Inc.","131.74","$378.59B","2012","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/fb",
"FLMN","Falcon Minerals Corporation","8.39","$720.32M","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/flmn",
"FLMNW","Falcon Minerals Corporation","0.75","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/flmnw",
"DAVE","Famous Dave&#39;s of America, Inc.","4.7","$42.73M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/dave",
"FANH","Fanhua Inc.","22.04","$1.43B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/fanh",
"FARM","Farmer Brothers Company","23.49","$398.81M","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/farm",
"FMAO","Farmers & Merchants Bancorp, Inc.","38.26","$355.25M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fmao",
"FMNB","Farmers National Banc Corp.","13.315","$369.85M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fmnb",
"FAMI","FARMMI, INC.","4.39","$52.38M","2018","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/fami",
"FARO","FARO Technologies, Inc.","38.15","$658.2M","1997","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/faro",
"FAST","Fastenal Company","49.95","$14.34B","1987","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/fast",
"FAT","FAT Brands Inc.","4.99","$57.53M","2017","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/fat",
"FATE","Fate Therapeutics, Inc.","13.15","$848.42M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/fate",
"FBSS","Fauquier Bankshares, Inc.","19.18","$72.38M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbss",
"FLF","Federal Life Group, Inc.","11.5","$40.6M","2018","Finance","Life Insurance","https://www.nasdaq.com/symbol/flf",
"FSAC","Federal Street Acquisition Corp.","10.12","$581.9M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fsac",
"FSACU","Federal Street Acquisition Corp.","10.11","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fsacu",
"FSACW","Federal Street Acquisition Corp.","0.78","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fsacw",
"FNHC","FedNat Holding Company","19.38","$247.57M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/fnhc",
"FENC","Fennec Pharmaceuticals Inc.","6.44","$123.03M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/fenc",
"GSM","Ferroglobe PLC","1.58","$271.72M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gsm",
"FFBW","FFBW, Inc.","9.97","$65.93M","2017","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ffbw",
"FCSC","Fibrocell Science Inc.","1.74","$16.98M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fcsc",
"FGEN","FibroGen, Inc","42.83","$3.64B","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fgen",
"FDBC","Fidelity D & D Bancorp, Inc.","64.89","$243.95M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fdbc",
"ONEQ","Fidelity Nasdaq Composite Index Tracking Stock","253.18","$1.34B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/oneq",
"LION","Fidelity Southern Corporation","25.72","$702.12M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lion",
"FDUS","Fidus Investment Corporation","11.92","$291.6M","2011","n/a","n/a","https://www.nasdaq.com/symbol/fdus",
"FDUSL","Fidus Investment Corporation","26.08","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdusl",
"FRGI","Fiesta Restaurant Group, Inc.","15.34","$418.12M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/frgi",
"FITB","Fifth Third Bancorp","24.18","$15.85B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fitb",
"FITBI","Fifth Third Bancorp","26.19","$471.42M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fitbi",
"FISI","Financial Institutions, Inc.","26.12","$415.96M","1999","Finance","Major Banks","https://www.nasdaq.com/symbol/fisi",
"FNSR","Finisar Corporation","20.69","$2.43B","1999","Technology","Semiconductors","https://www.nasdaq.com/symbol/fnsr",
"FNJN","Finjan Holdings, Inc.","2.6","$71.61M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/fnjn",
"FTACU","FinTech Acquisition Corp. III","10.035","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ftacu",
"FEYE","FireEye, Inc.","15.43","$3.04B","2013","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/feye",
"FBNC","First Bancorp","32.07","$953.42M","1987","Finance","Major Banks","https://www.nasdaq.com/symbol/fbnc",
"FNLC","First Bancorp, Inc (ME)","26.26","$285.19M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fnlc",
"FRBA","First Bank","11.91","$222.31M","2013","n/a","n/a","https://www.nasdaq.com/symbol/frba",
"BUSE","First Busey Corporation","24.95","$1.22B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/buse",
"FBIZ","First Business Financial Services, Inc.","20.24","$177.98M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbiz",
"FCAP","First Capital, Inc.","40.75","$136.76M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fcap",
"FCBP","First Choice Bancorp","21.63","$254.33M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcbp",
"FCNCA","First Citizens BancShares, Inc.","383","$4.52B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcnca",
"FCBC","First Community Bankshares, Inc.","31.9","$519.5M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcbc",
"FCCO","First Community Corporation","19.34","$147.56M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcco",
"FDEF","First Defiance Financial Corp.","24.84","$506.78M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fdef",
"FFBC","First Financial Bancorp.","23.79","$2.33B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffbc",
"FFIN","First Financial Bankshares, Inc.","57.59","$3.9B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffin",
"THFF","First Financial Corporation Indiana","41.15","$504.3M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/thff",
"FFNW","First Financial Northwest, Inc.","15.13","$165.14M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffnw",
"FFWM","First Foundation Inc.","13.54","$601.77M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffwm",
"FGBI","First Guaranty Bancshares, Inc.","22.38","$197.1M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fgbi",
"FHB","First Hawaiian, Inc.","22.93","$3.09B","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/fhb",
"INBK","First Internet Bancorp","21.23","$216.16M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/inbk",
"INBKL","First Internet Bancorp","24.25","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/inbkl",
"FIBK","First Interstate BancSystem, Inc.","36.94","$2.24B","2010","Finance","Major Banks","https://www.nasdaq.com/symbol/fibk",
"FRME","First Merchants Corporation","34.62","$1.72B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/frme",
"FMBH","First Mid-Illinois Bancshares, Inc.","32.89","$546.9M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fmbh",
"FMBI","First Midwest Bancorp, Inc.","20.09","$2.14B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fmbi",
"FNWB","First Northwest Bancorp","15.25","$172.72M","2015","Finance","Banks","https://www.nasdaq.com/symbol/fnwb",
"FSFG","First Savings Financial Group, Inc.","49.17","$113.13M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fsfg",
"FSLR","First Solar, Inc.","43.44","$4.55B","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/fslr",
"FAAR","First Trust Alternative Absolute Return Strategy ETF","26.489","$18.54M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/faar",
"FPA","First Trust Asia Pacific Ex-Japan AlphaDEX Fund","26.865","$30.89M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fpa",
"BICK","First Trust BICK Index Fund","24.3837","$142.64M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bick",
"FBZ","First Trust Brazil AlphaDEX Fund","14.15","$132.3M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fbz",
"FTHI","First Trust BuyWrite Income ETF","19.963","$54.38M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fthi",
"FCAL","First Trust California Municipal High income ETF","50.0714","$22.53M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fcal",
"FCAN","First Trust Canada AlphaDEX Fund","20.5199","$7.18M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fcan",
"FTCS","First Trust Capital Strength ETF","46.88","$1.3B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ftcs",
"FCEF","First Trust CEF Income Opportunity ETF","19.0526","$32.48M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fcef",
"FCA","First Trust China AlphaDEX Fund","23.4899","$7.05M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fca",
"SKYY","First Trust Cloud Computing ETF","47.18","$1.58B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/skyy",
"RNDM","First Trust Developed International Equity Select ETF","44.948","$22.47M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rndm",
"FDT","First Trust Developed Markets Ex-US AlphaDEX Fund","48.32","$942.34M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdt",
"FDTS","First Trust Developed Markets ex-US Small Cap AlphaDEX Fund","32.92","$9.88M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdts",
"FVC","First Trust Dorsey Wright Dynamic Focus 5 ETF","22.76","$465.44M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fvc",
"FV","First Trust Dorsey Wright Focus 5 ETF","24.49","$2.1B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fv",
"IFV","First Trust Dorsey Wright International Focus 5 ETF","17.49","$522.95M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ifv",
"DDIV","First Trust Dorsey Wright Momentum & Dividend ETF","20.59","$28.83M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ddiv",
"DVOL","First Trust Dorsey Wright Momentum & Low Volatility ETF","17.62","$17.62M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dvol",
"DVLU","First Trust Dorsey Wright Momentum & Value ETF","15.34","$10.74M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dvlu",
"DWPP","First Trust Dorsey Wright People&#39;s Portfolio ETF","25.49","$34.41M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwpp",
